name,summary,causes,symptoms,home_care,alternative_names
Digoxin test,"A digoxin test checks how much digoxin you have in your blood. Digoxin is a type of medicine called a cardiac glycoside. It is used to treat certain heart problems, although much less often than in the past.",,,,Heart failure - digoxin test
Dilantin overdose,Dilantin is a medicine used to prevent seizures. Overdose occurs when someone takes more than the normal or recommended amount of this medicine. This can be by accident or on purpose.,,"The symptoms of a Dilantin overdose vary. They may include: Coma Confusion Staggering gait or walk (early sign) Unsteadiness , uncoordinated movements (early sign) Involuntary, jerky, repeated movement of the eyeballs called nystagmus (early sign) Seizures Tremor (uncontrollable, repeated shaking of the arms or legs) Drowsiness Slow or slurred speech Lethargy Low blood pressure Nausea and vomiting Swollen gums Fever (rare) Severe blistering of the skin (rare) Slow or irregular heartbeat (usually only when taken intravenously, such as at a hospital) Swelling and purplish discoloration of the hand (only when taken intravenously, such as at a hospital)",Seek medical help right away. Do not make the person throw up unless poison control or a health care provider tells you to.,
Dilated cardiomyopathy,"Cardiomyopathy is disease in which the heart muscle becomes weakened, stretched, or has another structural problem.","The most common causes of dilated cardiomyopathy are: Heart disease caused by a narrowing or blockage in the coronary arteries Poorly controlled high blood pressure There are many other causes of dilated cardiomyopathy, including: Alcohol or cocaine (or other illegal drug) use (usually heavy use for a prolonged time) Diabetes, thyroid disease, or hepatitis Medicines that can be toxic to the heart, such as certain medicines used to treat cancer Abnormal heart rhythms in which the heart beats very fast for a long period of time Autoimmune illnesses Conditions that run in families Infections that involve the heart muscle Heart valves that are either too narrow or too leaky During the last month of pregnancy, or within 5 months after the baby is born Exposure to heavy metals such as lead, arsenic, cobalt, or mercury This condition can affect anyone at any age. However, it is most common in adult men.","Symptoms of heart failure are most common. They most often develop slowly over time. However, sometimes symptoms start very suddenly and may be severe. Common symptoms are: Chest pain or pressure (more likely with exercise) Cough Fatigue, weakness, faintness Irregular or rapid pulse Loss of appetite Shortness of breath with activity or after lying down (or being asleep) for a while Swelling of feet and ankles",,Cardiomyopathy - dilated; Primary cardiomyopathy; Diabetic cardiomyopathy; Idiopathic cardiomyopathy; Alcoholic cardiomyopathy
Dimenhydrinate overdose,Dimenhydrinate is a type of medicine called an antihistamine. Dimenhydrinate overdose occurs when someone takes more than the normal or recommended amount of this medicine. This can be by accident or on purpose.,,"Below are symptoms of a dimenhydrinate overdose in different parts of the body. BLADDER AND KIDNEYS Inability to urinate EYES, EARS, NOSE, MOUTH, AND THROAT Blurred vision Dry mouth Enlarged pupils Very dry eyes Ringing in the ears HEART AND BLOOD VESSELS Low blood pressure Rapid heartbeat NERVOUS SYSTEM Agitation Confusion Seizures Delirium Depression Drowsiness Hallucinations (seeing or hearing things that aren't there) Increased sleepiness Nervousness Tremor Unsteadiness SKIN Dry, red skin STOMACH AND INTESTINES Nausea Vomiting",,Dramamine; Dimetabs
Diphenhydramine overdose,Diphenhydramine is a type of medicine called an antihistamine. It is used in some allergy and sleep medicines.,,"Below are symptoms of a diphenhydramine overdose in different parts of the body. BLADDER AND KIDNEYS Inability to urinate EYES, EARS, NOSE, MOUTH, AND THROAT Blurred vision Dry mouth Enlarged pupils Very dry eyes Ringing in the ears HEART AND BLOOD VESSELS Low blood pressure Rapid heartbeat NERVOUS SYSTEM Agitation Confusion Seizures Delirium Depression Drowsiness Hallucinations (seeing or hearing things that aren't there) Increased sleepiness Nervousness Tremor Unsteadiness SKIN Dry, red skin STOMACH AND INTESTINES Nausea Vomiting",,Benadryl overdose; Sominex overdose; Nytol overdose
Diphtheria,Diphtheria is an acute infection caused by the bacterium Corynebacterium diphtheriae.,"The bacteria that cause diphtheria spread through respiratory droplets (such as from a cough or sneeze) of an infected person or someone who carries the bacteria but has no symptoms. The bacteria most commonly infect your nose and throat. The throat infection causes a gray to black, tough, fiber-like covering, which can block your airways. In some cases, diphtheria infects your skin first and causes skin lesions . Once you are infected, the bacteria make dangerous substances called toxins. The toxins spread through your bloodstream to other organs, such as the heart and brain, and cause damage. Because of widespread vaccination (immunization) of children, diphtheria is now rare in many parts of the world. Risk factors for diphtheria include crowded environments, poor hygiene, and lack of immunization.","Symptoms usually occur 2 to 5 days after the bacteria enter your body: Fever and chills Sore throat, hoarseness Painful swallowing Croup-like (barking) cough Drooling (suggests airway blockage is about to occur) Bluish coloration of the skin Bloody, watery drainage from nose Breathing problems, including difficulty breathing, fast breathing, high-pitched breathing sound ( stridor ) Skin sores (usually seen in tropical areas) Sometimes there are no symptoms.",,Respiratory diphtheria; Pharyngeal diphtheria; Diphtheric cardiomyopathy; Diphtheric polyneuropathy
Dirt - swallowing,This article is about poisoning from swallowing or eating dirt.,,"Swallowing dirt may cause constipation or a blockage in the intestines. These can cause stomach pain , which may be severe. If there are contaminants in the soil, these substances may also cause symptoms.",,
Discipline in children,"All children misbehave sometimes. As a parent, you have to decide how you will respond. Your child needs rules to understand how to behave.",,,,Setting limits; Teaching children; Punishment; Well child care - discipline
Disk replacement - lumbar spine,Lumbar spine disk replacement is surgery of the lower back (lumbar) area. It is done to treat spinal stenosis or disk problems and allow normal movement of the backbone.,,,,Lumbar disk arthroplasty; Thoracic disk arthroplasty; Artificial disk replacement; Total disk replacement; TDR; Disc arthroplasty; Disc replacement; Artificial disc
Diskectomy,"Diskectomy is surgery to remove all or part of the cushion that helps support part of your spinal column. These cushions are called disks, and they separate your spinal bones (vertebrae).",,,,Spinal microdiskectomy; Microdecompression; Laminotomy; Disk removal; Spine surgery - diskectomy; Discectomy
Diskitis,Diskitis is swelling (inflammation) and irritation of the space between the bones of the spine (intervertebral disk space).,"Diskitis is an uncommon condition. It is usually seen in children younger than 10 years and in adults around 50 years of age. Men are more affected than women. Diskitis can be caused by an infection from bacteria or a virus. It can also be caused by inflammation, such as from autoimmune diseases. Autoimmune diseases are conditions in which the immune system mistakenly attacks certain cells in the body. Disks in the neck and low back are most commonly affected.","Symptoms may include any of the following: Abdominal pain Back pain Difficulty getting up and standing Fever (typically 102°F or 38.9°C or lower) Increased curvature of the back Irritability Neck pain Sweating at night Recent flu-like symptoms Refusal to sit up, stand, or walk (younger child) Stiffness in back",,Disk inflammation
Dislocation,"A dislocation is a disruption of the normal position of the ends of two or more bones where they meet at a joint. A joint is the place where two bones connect, which allows movement.","Dislocations are usually caused by a sudden impact to the joint. This usually occurs following a blow, fall, or other trauma.","A dislocated joint may be: Accompanied by numbness or tingling at the joint or beyond it Very painful, especially if you try to use the joint or put weight on it Limited in movement Swollen or bruised Visibly out of place, discolored, or misshapen Nursemaid's elbow , or pulled elbow, is a partial dislocation that is common in toddlers. The main symptom is pain so that the child doesn't want to use the arm. This dislocation can be easily treated in your provider's office.",,Joint dislocation
Dissect,"Dissect means to cut or separate tissues. Doctors dissect tissue during surgery. Most of the time, this is done to remove a part of the body that is thought to be diseased. Pathologists dissect dead bodies. This is part of doing an autopsy to determine the cause of death.",,,,
Disseminated intravascular coagulation (DIC),Disseminated intravascular coagulation (DIC) is a serious disorder in which the proteins that control blood clotting become overactive.,"When you are injured, proteins in the blood that form blood clots travel to the injury site to help stop bleeding. If these proteins become abnormally active throughout the body, you could develop DIC. The underlying cause is usually due to inflammation, infection, or cancer. In some cases of DIC, small blood clots form in the blood vessels. Some of these clots can clog the vessels and cut off the normal blood supply to organs such as the liver, brain, or kidneys. Lack of blood flow can damage and cause major injury to the organs. In other cases of DIC, the clotting proteins in your blood are consumed. When this happens, you may have a high risk of serious bleeding, even from a minor injury or without injury. You may also have bleeding that starts spontaneously (on its own). The disease can also cause your healthy red blood cells to fragment and break up when they travel through the small vessels that are filled with clots. Risk factors for DIC include: Blood transfusion reaction Cancer, especially certain types of leukemia Inflammation of the pancreas (pancreatitis) Infection in the blood, especially by bacteria or fungus Liver disease Pregnancy complications (such as placenta tissue that is left behind after delivery) Recent surgery or anesthesia Severe tissue injury (as in burns and head injury) Large hemangioma (a blood vessel that is not formed properly)","Symptoms of DIC may include any of the following: Bleeding, from many sites in the body Blood clots Bruising Drop in blood pressure Shortness of breath Confusion, memory loss or change of behavior Fever",,Consumption coagulopathy; DIC
Disseminated tuberculosis,Disseminated tuberculosis is a mycobacterial infection in which mycobacteria spread from the lungs to other parts of the body through the blood or lymph system.,"Tuberculosis (TB) infection can develop after breathing in droplets sprayed into the air from a cough or sneeze by someone infected with the Mycobacterium tuberculosis bacterium. The resulting lung infection is called primary TB. The usual site of TB is the lungs ( pulmonary TB ), but other organs can be involved. In the United States, most people with primary TB get better and have no further evidence of disease. Disseminated TB develops in a small number of infected people whose immune systems do not successfully contain the primary infection. Disseminated disease can occur within weeks of the primary infection. Sometimes, it occurs years after you become infected. You are more likely to get this type of TB if you have a weakened immune system due to disease (such as AIDS) or certain medicines. Infants and older adults are also at higher risk. Your risk of catching TB increases if you: Are around people who have the disease (such as during overseas travel) Live in crowded or unclean conditions Are immunocompromised by a disease or medicines Have poor nutrition The following factors can increase the rate of TB infection in a population: Increase in HIV infections Increase in number of homeless people with unstable housing (poor environment and nutrition) The appearance of drug-resistant strains of TB","Disseminated tuberculosis can affect many different body areas. Symptoms depend on the affected areas of the body and can include: Abdominal pain or swelling Chills Cough and shortness of breath Fatigue Fever General discomfort, uneasiness, or ill feeling ( malaise ) Joint pain Pale skin due to anemia ( pallor ) Sweating Swollen glands Weight loss",,Miliary tuberculosis; Tuberculosis - disseminated; Extrapulmonary tuberculosis
Distal,"Distal refers to sites located away from a specific area, most often the center of the body. In medicine, it refers to parts of the body further away from the center. For example, the hand is distal to the shoulder. The thumb is distal to the wrist.",,,,
Distal median nerve dysfunction,Distal median nerve dysfunction is a form of peripheral neuropathy that affects the movement of or sensation in the hands.,"Dysfunction of one nerve group, such as the distal median nerve, is called a mononeuropathy . Mononeuropathy usually means there is a local cause of the nerve damage. Diseases affecting the entire body (systemic disorders) can also cause isolated nerve damage. This condition occurs when the nerve is inflamed, trapped, or injured by trauma. The most common reason is trapping (entrapment) by a ligament in the wrist. This causes carpal tunnel syndrome. Trapping puts pressure on the nerve where it passes through a narrow area. Wrist fractures may injure the median nerve directly. Or, it may increase the risk for trapping the nerve later on. Inflammation of the tendons ( tendinitis ) or joints ( arthritis ) can also put pressure on the nerve. Some repetitive movements increase the chance of developing carpal tunnel entrapment. Women are more affected than men. Problems that affect the tissue near the nerve or cause deposits to form in the tissue can block blood flow and lead to pressure on the nerve. Such conditions include: Too much growth hormone in the body ( acromegaly ) Diabetes Underactive thyroid ( hypothyroidism ) Kidney disease A blood cancer called multiple myeloma Pregnancy Obesity Amyloidosis In some cases, no cause can be found. Diabetes can make this condition worse.","Symptoms may include any of the following: Pain in the wrist or hand that may be severe and wake you up at night, and that may be felt in other areas, such as the upper arm (this is called referred pain) Sensation changes in the thumb, index, middle, and part of the ring fingers, such as a burning feeling, decreased sensation, numbness and tingling Weakness of the hand that causes you to drop things or have difficulty grasping objects or buttoning a shirt",,Neuropathy - distal median nerve
Distal renal tubular acidosis,"Distal renal tubular acidosis is a disease that occurs when the kidneys do not properly remove acids from the blood into the urine. As a result, too much acid remains in the blood (called acidosis).","When the body performs its normal functions, it produces acid. If this acid is not removed or neutralized, the blood becomes too acidic. This can lead to electrolyte imbalances in the blood. It can also cause problems with normal function of some cells. The kidneys help control the body's acid level by removing acid from the blood and excreting it into the urine. Distal renal tubular acidosis (type I RTA) is caused by a defect in the kidney tubes that causes acid to build up in the blood. Type I RTA is caused by a variety of conditions, including: Amyloidosis , a buildup of abnormal protein, called amyloid, in the tissues and organs Fabry disease, an abnormal buildup in the body of a certain type of fatty substance High level of calcium in the blood Sickle cell disease , red blood cells that are normally shaped like a disk take on a sickle or crescent shape Sjögren syndrome , an autoimmune disorder in which the glands that produce tears and saliva are destroyed Systemic lupus erythematosus , an autoimmune disease in which the body's immune system mistakenly attacks healthy tissue Wilson disease , an inherited disorder in which there is too much copper in the body's tissues Use of certain medicines, such as amphotericin B, lithium, and analgesics","Symptoms of distal renal tubular acidosis include any of the following: Confusion or decreased alertness Fatigue Impaired growth in children Increased breathing rate Kidney stones Nephrocalcinosis (too much calcium deposited in the kidneys) Osteomalacia (softening of the bones) Muscle weakness Other symptoms may include: Bone pain Decreased urine output Increased heart rate or irregular heartbeat Muscle cramps Pain in the back, flank, or abdomen Skeletal abnormalities",,Renal tubular acidosis - distal; Renal tubular acidosis type I; Type I RTA; RTA - distal; Classical RTA
Distal splenorenal shunt,A distal splenorenal shunt (DSRS) is a type of surgery done to relieve extra pressure in the portal vein. The portal vein carries blood from your digestive organs to your liver.,,,,DSRS; Distal splenorenal shunt procedure; Renal - splenic venous shunt; Warren shunt; Cirrhosis - distal splenorenal; Liver failure - distal splenorenal; Portal vein pressure - distal splenorenal shunt
Diverticulitis,"Diverticula are small, bulging sacs or pouches that form on the inner wall of the intestine. Diverticulitis occurs when these pouches become inflamed or infected. Most often, these pouches are in the lower part of the large intestine (colon).","The formation of pouches or sacs on the intestinal lining is called diverticulosis. It is found in more than half of Americans over age 60. However, no one knows exactly what causes the pouches to form. Eating a low-fiber diet mostly made up of processed foods may be a cause. Constipation and hard stools are more likely when you do not eat enough fiber. Straining to pass stools increases the pressure in the colon or intestines, which may lead to the formation of these pouches. In some cases, one of the pouches can become inflamed and a small tear develops in the lining of the intestine. This can lead to an infection at the site. When this occurs, the condition is called diverticulitis. The cause of diverticulitis is not known.","People with diverticulosis often have no symptoms, but they may have bloating and cramping in the lower part of the belly. Rarely, they may notice blood in their stool or on toilet paper. Symptoms of diverticulitis are more severe and often start suddenly, but they may become worse over a few days. They include: Pain or discomfort, usually in the left lower part of the abdomen Bloating or gas Fever and chills Nausea and vomiting Not feeling hungry and not eating",,
Diverticulosis,"Diverticulosis occurs when small, bulging sacs or pouches form on the inner wall of the intestine. These sacs are called diverticula. Most often, these pouches form in the large intestine (colon). They may also occur in the jejunum in the small intestine, although this is less common.","Diverticulosis is less common in people age 40 and younger. It's more common in older adults. About half of Americans over age 60 have this condition. Most people will have it by age 80. No one knows exactly what causes these pouches to form. For many years, it was thought that eating a low-fiber diet may play a role. Not eating enough fiber can cause constipation (hard stools). Straining to pass stools (feces) increases the pressure in the colon or intestines. This may cause the pouches to form at weak spots in the colon wall. However, whether a low-fiber diet leads to this problem is not well proven. Other possible risk factors that are also not well proven are lack of exercise and obesity. Eating nuts, popcorn, or corn does not appear to lead to inflammation of these pouches ( diverticulitis ).","Most people with diverticulosis have no symptoms. When symptoms occur, they may include: Pain and cramps in your stomach especially in the left lower abdomen Constipation (sometimes diarrhea) Bloating or gas Not feeling hungry and not eating You may notice small amounts of blood in your stools or on toilet paper. Rarely, more severe bleeding may occur.",,Diverticula - diverticulosis; Diverticular disease - diverticulosis; G.I. bleed - diverticulosis; Gastrointestinal hemorrhage - diverticulosis; Gastrointestinal bleed - diverticulosis; Jejunal diverticulosis
Dizziness,Dizziness is a term that is often used to describe 2 different symptoms: lightheadedness and vertigo.,"Lightheadedness occurs when your brain does not get enough blood. This may occur if: You have a sudden drop in blood pressure. Your body does not have enough water (is dehydrated) because of vomiting, diarrhea, fever, or other conditions. You get up too quickly after sitting or lying down (this is more common in older people). Lightheadedness may also occur if you have the flu , low blood sugar , a cold, allergies, or take medicines that may lower your blood pressure. More serious conditions that can lead to lightheadedness include: Heart problems, such as a heart attack or abnormal heart beat Stroke Bleeding inside the body Shock (extreme drop in blood pressure) If any of these serious disorders are present, you will usually also have symptoms like chest pain, a feeling of a racing heart, loss of speech, change in vision, or other symptoms. Vertigo may be due to: Benign positional vertigo , a spinning feeling that occurs when you move your head Labyrinthitis , a viral infection of the inner ear that usually follows a cold or flu Meniere disease , a common inner ear problem Other causes of lightheadedness or vertigo may include: Use of certain medicines Stroke Multiple sclerosis Seizures Brain tumor Bleeding in the brain",,"If you tend to get lightheaded when you stand up: Avoid sudden changes in posture. Get up from a lying position slowly, and stay seated for a few moments before standing. When standing, make sure you have something to hold on to. If you have vertigo, the following tips can help prevent your symptoms from becoming worse: Keep still and rest when symptoms occur. Avoid sudden movements or position changes. Slowly increase activity. You may need a cane or other help walking when you have a loss of balance during a vertigo attack. Avoid bright lights, TV, and reading during vertigo attacks because they may make symptoms worse. Avoid activities such as driving, operating heavy machinery, and climbing until 1 week after your symptoms disappear. A sudden dizzy spell during these activities can be dangerous.",Lightheadedness - dizzy; Loss of balance; Vertigo
Doctor of medicine profession (MD),"MDs may be found within a wide range of medical practice settings, including private practices, group practices, hospitals, health maintenance organizations, teaching facilities, and public health organizations.",,,,Physician
Doctor of osteopathic medicine,"A doctor of osteopathic medicine (DO) is a physician licensed to practice medicine, perform surgery, and prescribe medicine.",,,,Osteopathic physician
Donath-Landsteiner test,The Donath-Landsteiner test is a blood test to detect harmful antibodies related to a rare disorder called paroxysmal cold hemoglobinuria. These antibodies form and destroy red blood cells when the body is exposed to cold temperatures.,,,,Anti-P antibody; Paroxysmal cold hemoglobinuria - Donath-Landsteiner
Donovanosis (granuloma inguinale),Donovanosis (granuloma inguinale) is a sexually transmitted disease (STD) that is rarely seen in the United States.,"Donovanosis is caused by the bacterium Klebsiella granulomatis . The disease is commonly found in tropical and subtropical areas such as southeast India, Guyana, and New Guinea. There are about 100 cases reported per year in the United States. Most of these cases occur in people who have traveled to or are from places where the disease is common. The disease spreads mostly through vaginal or anal intercourse. Very rarely, it spreads during oral sex. Most infections occur in people ages 20 to 40.","Symptoms can occur 1 to 12 weeks after coming in contact with the bacteria. Symptoms may include: Sores in the anal area (in about half of cases) Small, beefy-red bumps on the genitals or around the anus The skin gradually wears away, and the bumps turn into raised, beefy-red, velvety nodules called granulation tissue. They are often painless, but they bleed easily if injured. The disease slowly spreads and destroys genital tissue. Tissue damage may spread to the groin. The genitals and the skin around them lose skin color. In its early stages, it may be hard to tell the difference between donovanosis and chancroid .",,Granuloma inguinale; Sexually transmitted disease - donovanosis; STD - donovanosis; Sexually transmitted infection - donovanosis; STI - donovanosis
Doppler ultrasound exam of an arm or leg,This test uses ultrasound to look at the blood flow in the large arteries and veins in the arms or legs.,,,,PVD - Doppler; PAD - Doppler; Blockage of leg arteries - Doppler; Intermittent claudication - Doppler; Arterial insufficiency of the legs - Doppler; Leg pain and cramping - Doppler; Calf pain - Doppler; Venous Doppler - DVT
Double aortic arch,"Double aortic arch is an abnormal formation of the aorta, the large artery that carries blood from the heart to the rest of the body. It is a congenital problem, which means that it is present at birth.","Double aortic arch is a common form of a group of defects that affect the development of the aorta in the womb. These defects cause an abnormal formation called a vascular ring (a circle of blood vessels). Normally, the aorta develops from one of several curved pieces of tissue (arches). As babies develop in the womb, the arches split into several parts. The body breaks down some of the arches, while others form into arteries. A normally developed aorta is a single arch that leaves the heart and moves leftward. In double aortic arch, some of the arches that should have disappeared are still present at birth in addition to the normal arch. Babies with a double aortic arch have an aorta that is made up of two vessels instead of one. The two parts to the aorta have smaller arteries branching off of them. As a result, the two branches go around and press down on the windpipe and the tube (esophagus) that carries food from the mouth to the stomach. A double aortic arch may occur in other congenital heart defects, including: Tetralogy of Fallot Truncus arteriosus Transposition of the great arteries Ventricular septal defect Double aortic arch is very rare. Vascular rings make up a small percentage of all congenital heart problems. Of these, a little more than half are caused by double aortic arch. The condition occurs equally in males and females. It is often present in people with certain chromosome abnormalities.","Because symptoms of double aortic arch are often mild, the problem may not be discovered until the child is a few years old. The double aortic arch may press on the trachea and esophagus, leading to trouble breathing and swallowing. The severity of the symptoms depends on how much the aortic arch is pressing on these structures. Breathing symptoms include: High-pitched sound during breathing (stridor) Noisy breathing Repeated pneumonias Wheezing Digestive symptoms may include: Choking Difficulty eating and swallowing Vomiting",,Aortic arch anomaly; Double arch; Congenital heart defect - double aortic arch; Birth defect heart - double aortic arch
Double inlet left ventricle,Double inlet left ventricle (DILV) is a heart defect that is present from birth (congenital). It affects the valves and chambers of the heart. Babies born with this condition have only one working pumping chamber (ventricle) in their heart.,"DILV is one of several heart defects known as single (or common) ventricle defects. People with DILV have a large left ventricle and a small right ventricle. The left ventricle is the pumping chamber of the heart that sends oxygen-rich blood to the body. The right ventricle is the pumping chamber that sends oxygen-poor blood to the lungs. In the normal heart, the right and left ventricles receive blood from the right and left atria. The atria are upper chambers of the heart. Oxygen-poor blood returning from the body flows to the right atrium and right ventricle. The right ventricle then pumps blood to the pulmonary artery. This is the blood vessel that carries blood to the lungs to pick up oxygen. Blood with fresh oxygen returns to the left atrium and left ventricle. The aorta then carries oxygen-rich blood to the rest of the body from the left ventricle. The aorta is the major artery leading out of the heart. In people with DILV, only the left ventricle is developed. Both atria empty blood into this ventricle. This means that oxygen-rich blood mixes with oxygen-poor blood. The mixture is then pumped to both the body and the lungs. DILV can happen if the large blood vessels arising from the heart are in the wrong positions. The aorta arises from the small right ventricle and the pulmonary artery arises from the left ventricle. It can also occur when the arteries are in normal positions and arise from the usual ventricles. In this case, blood flows from the left to right ventricle through a hole between the chambers called a ventricular septal defect (VSD). DILV is very rare. The exact cause is unknown. The problem most likely occurs early in the pregnancy, when the baby's heart develops. People with DILV often also have other heart problems, such as: Coarctation of the aorta (narrowing of the aorta) Pulmonary atresia (pulmonary valve of the heart is not formed properly) Pulmonary valve stenosis (narrowing of the pulmonary valve)",Symptoms of DILV may include: Bluish color to the skin and lips ( cyanosis ) due to low oxygen in the blood Failure to gain weight and grow Pale skin (pallor) Poor feeding from becoming tired easily Sweating Swollen legs or abdomen Trouble breathing,,DILV; Single ventricle; Common ventricle; Univentricular heart; Univentricular heart of the left ventricular type; Congenital heart defect - DILV; Cyanotic heart defect - DILV; Birth defect - DILV
Double outlet right ventricle,"Double outlet right ventricle (DORV) is a heart disease that is present from birth (congenital). The aorta connects to the right ventricle (RV, the chamber of the heart that pumps oxygen-poor blood to the lungs), instead of to the left ventricle (LV, the chamber that normally pumps oxygen-rich blood to the body).","In a normal heart structure, the aorta connects to the LV. The pulmonary artery normally is connected to the RV. In DORV, both arteries flow out of the RV. This is a problem because the RV pumps oxygen-poor blood. This blood is then circulated throughout the body. Another defect called a ventricular septal defect (VSD) always occurs with DORV. Oxygen-rich blood from the lungs flows from the left side of the heart, through the VSD opening and into the RV. This helps the infant with DORV by allowing oxygen-rich blood to mix with oxygen-poor blood. Even with this mixture, the body may not get enough oxygen. This makes the heart work harder to meet the body's needs. There are several types of DORV. The difference between these types is the location of the VSD as it relates to the location of the pulmonary artery and aorta. The symptoms and severity of the problem will depend on the type of DORV. The presence of pulmonary valve stenosis also affects the condition. People with DORV often have other heart defects, such as: Endocardial cushion defects (the walls separating all four chambers of the heart are poorly formed or absent) Coarctation of the aorta (narrowing of the aorta) Mitral valve problems Pulmonary atresia (pulmonary valve does not form properly) Pulmonary valve stenosis (narrowing of the pulmonary valve) Right-sided aortic arch (aortic arch is on right instead of the left) Transposition of the great arteries (the aorta and pulmonary artery are switched)",Signs of DORV may include: Enlarged heart Heart murmur Rapid breathing Rapid heartbeat Symptoms of DORV may include: Poor feeding from becoming tired easily Bluish color of the skin and lips (cyanosis) Clubbing (thickening of the nail beds) of toes and fingers (late sign) Failure to gain weight and grow Pale coloring (pallor) Sweating Swollen legs or abdomen Trouble breathing,,DORV; Taussig-Bing anomaly; DORV with doubly-committed VSD; DORV with noncommitted VSD; DORV with subaortic VSD; Congenital heart defect - DORV; Cyanotic heart defect - DORV; Birth defect - DORV
Down syndrome,Down syndrome is a genetic condition in which a person has 47 chromosomes instead of the usual 46.,"In most cases, Down syndrome occurs when there is an extra copy of chromosome 21. This form of Down syndrome is called trisomy 21. The extra chromosome causes problems with the way the body and brain develop. Down syndrome is one of the most common causes of birth defects.","Down syndrome symptoms vary from person to person and can range from mild to severe. No matter how severe the condition is, people with Down syndrome have a widely-recognized appearance. The head may be smaller than normal and abnormally shaped. For example, the head may be round with a flat area on the back. The inner corner of the eyes may be rounded instead of pointed. Common physical signs include: Decreased muscle tone at birth Excess skin at the nape of the neck Flattened nose Separated joints between the bones of the skull (sutures) Single crease in the palm of the hand Small ears Small mouth Upward slanting eyes Wide, short hands with short fingers White spots on the colored part of the eye (Brushfield spots) Physical development is often slower than normal. Most children with Down syndrome never reach average adult height. Children may also have delayed mental and social development. Common problems may include: Impulsive behavior Poor judgment Short attention span Slow learning As children with Down syndrome grow and become aware of their limitations, they may also feel frustration and anger. Many different medical conditions are seen in people with Down syndrome, including: Birth defects involving the heart, such as an atrial septal defect or ventricular septal defect Dementia Eye problems, such as cataracts (most children with Down syndrome need glasses) Early and massive vomiting, which may be a sign of a gastrointestinal blockage, such as esophageal atresia and duodenal atresia Hearing problems, probably caused by repeated ear infections Hip problems and risk of hip dislocation Long-term (chronic) constipation problems Sleep apnea (because the mouth, throat, and airway are narrowed in children with Down syndrome) Teeth that appear later than normal and in a location that may cause problems with chewing Underactive thyroid ( hypothyroidism )",,Trisomy 21; Down's syndrome
Doxepin overdose,"Doxepin is a type of medicine called a tricyclic antidepressant (TCA). It is prescribed to treat depression and anxiety. Doxepin overdose occurs when someone takes more than the normal or recommended amount of this medicine, either by accident or on purpose. Toxic level of a TCA can build up in the body if the TCA and other medicines interact. This interaction can affect how well the body can break down the TCA.",,"Below are symptoms of an overdose of doxepin in different parts of the body: AIRWAYS AND LUNGS Slow breathing Difficulty breathing BLADDER AND KIDNEYS Hard to start urinating Hard to empty bladder EYES, EARS, NOSE, AND THROAT Blurred vision Ringing in the ears HEART AND BLOOD Irregular heartbeat (may be fatal) Low blood pressure Shock MOUTH, STOMACH, AND INTESTINAL TRACT Constipation Dry mouth Nausea and vomiting Unpleasant taste in mouth NERVOUS SYSTEM Agitation , confusion Drowsiness, decreased alertness, coma Headache Muscle rigidity, lack of coordination Restlessness Seizures SKIN Very sensitive to sunlight",Get medical help right away. DO NOT make the person throw up unless poison control or a health care provider tells you to.,Doxepin hydrochloride overdose
Drain cleaner poisoning,"Drain cleaners contain very dangerous chemicals that can be harmful to your health if you swallow them, breathe them in (inhale), or if they come in contact with your skin and eyes.",,"Symptoms of drain cleaner poisoning include: Abdominal pain (severe) Breathing difficulty due to throat swelling Burns of the mouth and throat Chest pain Collapse Diarrhea Drooling Loss of vision if the poison touched the eyes Mouth pain (severe) Rapid drop in blood pressure (shock) Throat pain (severe) Severe burns and tissue damage Vomiting , often bloody Symptoms from getting sodium hydroxide on the skin or in the eyes include: Burning Severe pain Vision loss","Seek immediate medical help. DO NOT make a person throw up unless told to do so by Poison Control or a health care professional. If the chemical was swallowed, immediately give the person water or milk, unless instructed otherwise by a health care provider. DO NOT give water or milk if the person is having symptoms (such as vomiting, convulsions, or a decreased level of alertness) that make it hard to swallow. If the chemical is on the skin or in the eyes, flush with at least 2 quarts (1.8 liters) for at least 15 minutes. DO NOT give vinegar or lemon juice, as this may cause more severe burning.",
